pwm,m1,m2,m3,m4,mean
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,1.288543,1.47262,1.288543,0.920388,1.242523
10,2.945241,3.313396,3.497473,3.129318,3.221357
11,4.786016,4.970094,5.338249,4.970094,5.016113
12,6.626791,6.994946,7.179024,6.810869,6.902908
13,8.467567,8.835722,9.203877,8.651644,8.789702
14,10.308342,10.860575,11.044652,10.676497,10.722517
15,12.333195,12.70135,12.885428,12.70135,12.655331
16,14.173971,14.173971,14.542126,14.173971,14.266009
17,15.830668,16.382901,16.935134,15.830668,16.244843
18,17.855521,18.223676,18.775909,18.039599,18.223676
19,19.696297,20.432607,20.432607,19.880374,20.110471
20,21.72115,22.273382,22.641537,22.089305,22.181343
21,23.561925,24.114158,24.482313,23.93008,24.022119
22,25.4027,26.323088,26.875321,25.770855,26.092991
23,27.427553,28.163863,28.532019,27.795708,27.979786
24,29.636484,30.372794,30.740949,30.004639,30.188716
25,31.661337,32.581724,33.133957,32.029492,32.351627
26,33.502112,34.4225,34.974732,34.054345,34.238422
27,35.711043,36.815508,37.183663,35.711043,36.355314
28,37.36774,38.840361,39.024438,37.919973,38.288128
29,39.576671,41.049291,41.417446,40.312981,40.589097
30,41.785601,43.074144,43.074144,42.521912,42.61395
31,43.810454,44.730842,45.65123,43.994532,44.546764
32,45.835307,46.939772,47.86016,46.203462,46.709676
33,47.86016,49.33278,49.516858,48.228315,48.734528
34,49.885013,51.541711,51.725788,50.437246,50.89744
35,51.909866,53.750641,54.118796,52.462099,53.060351
36,53.934719,55.775494,56.511804,54.855107,55.269281
37,55.959572,57.61627,57.984425,56.511804,57.018018
38,57.984425,60.009278,60.56151,59.08889,59.411026
39,60.009278,62.034131,62.218208,61.113743,61.34384
40,62.034131,63.874906,64.795294,63.506751,63.55277
41,64.243061,66.267914,66.451992,65.347526,65.577623
42,66.451992,68.292767,68.845,67.556457,67.786554
43,68.292767,70.133542,71.05393,69.397232,69.719368
44,70.31762,72.158395,72.710628,70.869853,71.514124
45,72.52655,73.999171,74.735481,73.262861,73.631016
46,74.551403,76.392179,77.312566,75.471791,75.931985
47,76.392179,78.601109,78.785187,77.312566,77.77276
48,78.417032,80.073729,81.362272,78.969264,79.705574
49,80.257807,82.28266,82.650815,80.81004,81.50033
50,81.914505,84.49159,85.043823,82.650815,83.525183
51,84.123435,86.332366,86.884598,85.227901,85.642075
52,85.964211,88.357219,88.909451,87.252754,87.620909
53,87.804986,90.382072,90.566149,88.541296,89.323626
54,89.645762,92.222847,92.591002,90.382072,91.210421
55,91.670614,93.327312,94.615855,92.406925,93.005177
56,93.695467,95.72032,96.640708,94.615855,95.168088
57,95.536243,97.745173,98.481483,95.904398,96.916824
58,97.377018,99.401871,99.954104,97.377018,98.527503
59,99.033716,101.242646,102.163034,99.585949,100.506336
60,100.690414,103.451577,103.635654,101.242646,102.255073
61,102.531189,104.74012,105.660507,103.635654,104.141868
