pwm,m1,m2,m3,m4,mean
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,1.288543,1.47262,1.104465,1.288543,1.288543
10,3.497473,3.313396,3.129318,3.313396,3.313396
11,5.338249,5.338249,5.154171,5.522326,5.338249
12,7.179024,7.179024,7.179024,6.994946,7.133005
13,9.203877,9.203877,9.019799,9.019799,9.111838
14,11.044652,11.044652,10.860575,11.22873,11.044652
15,13.253583,13.253583,13.069505,13.069505,13.161544
16,14.542126,14.726203,14.542126,14.910281,14.680184
17,16.751056,16.935134,16.566979,16.566979,16.705037
18,18.591831,18.959987,18.591831,18.775909,18.72989
19,20.432607,20.800762,20.616684,20.800762,20.662704
20,22.45746,23.009692,22.825615,22.825615,22.779595
21,24.66639,24.850468,24.66639,24.850468,24.758429
22,26.691243,26.875321,26.691243,26.875321,26.783282
23,28.532019,29.084251,28.716096,29.084251,28.854154
24,30.556871,31.477259,30.740949,30.925027,30.925027
25,32.765802,33.318035,32.949879,33.133957,33.041918
26,35.15881,35.342887,35.15881,35.526965,35.296868
27,36.999585,37.551818,36.999585,37.551818,37.275702
28,39.208516,39.392593,39.392593,39.392593,39.346574
29,41.417446,41.969679,41.601524,41.785601,41.693563
30,43.442299,44.178609,43.810454,43.810454,43.810454
31,45.65123,46.203462,45.65123,46.019385,45.881327
32,47.676083,48.412393,48.044238,48.228315,48.090257
33,49.516858,50.437246,49.885013,50.253168,50.023071
34,51.909866,52.462099,52.093944,52.462099,52.232002
35,54.118796,54.855107,54.486952,55.039184,54.62501
36,56.143649,56.87996,56.511804,56.87996,56.603843
37,58.35258,59.272968,58.720735,59.641123,58.996851
38,60.56151,61.481898,60.745588,61.850053,61.159762
39,62.586363,63.322673,62.770441,63.506751,63.046557
40,64.795294,65.531604,64.979371,65.347526,65.163449
41,67.004224,67.556457,67.372379,67.740534,67.418399
42,68.845,69.949465,69.213155,69.949465,69.489271
43,71.05393,72.158395,71.238008,72.52655,71.744221
44,73.078783,74.183248,73.262861,74.551403,73.769074
45,74.919558,76.392179,75.471791,76.208101,75.747907
46,76.576256,78.048877,77.680721,78.417032,77.680721
47,79.521497,80.625962,79.521497,80.81004,80.119749
48,80.994117,82.466737,81.730427,82.098582,81.822466
49,83.387125,84.123435,83.571203,84.123435,83.8013
50,85.411978,86.700521,85.780133,86.516443,86.102269
51,87.252754,88.357219,87.436831,88.725374,87.943044
52,89.461684,90.382072,89.093529,90.197994,89.78382
53,91.302459,92.222847,91.670614,92.591002,91.946731
54,92.959157,94.431778,93.695467,94.615855,93.925564
55,94.799933,96.272553,95.72032,96.088475,95.72032
56,97.008863,98.113328,97.377018,98.113328,97.653134
57,98.849638,100.138181,99.033716,99.954104,99.49391
58,100.506336,101.794879,100.874491,102.531189,101.426724
59,102.715267,103.819732,102.715267,103.635654,103.22148
60,104.74012,105.844585,104.74012,105.844585,105.292352
61,106.580895,107.133128,106.580895,108.237593,107.133128
