pwm,m1,m2,m3,m4,mean
-43,-68.845,-68.108689,-69.949465,-67.372379,-68.568883
-44,-71.238008,-69.949465,-72.158395,-69.58131,-70.731794
-45,-72.52655,-71.974318,-74.183248,-71.606163,-72.57257
-46,-74.551403,-74.367326,-76.208101,-73.262861,-74.597423
-47,-76.576256,-76.208101,-77.864799,-75.103636,-76.438198
-48,-78.417032,-77.864799,-80.257807,-77.680721,-78.55509
-49,-80.994117,-80.441885,-81.914505,-79.521497,-80.718001
-50,-82.466737,-82.466737,-84.307513,-81.54635,-82.696834
-51,-84.307513,-83.939358,-85.780133,-83.571203,-84.399552
-52,-86.700521,-86.332366,-87.804986,-85.043823,-86.470424
-53,-88.725374,-87.620909,-89.461684,-87.068676,-88.219161
-54,-90.013917,-89.645762,-91.486537,-88.909451,-90.013917
-55,-92.406925,-92.222847,-93.879545,-90.750227,-92.314886
-56,-94.431778,-93.695467,-95.352165,-92.77508,-94.063622
-57,-95.72032,-95.352165,-97.192941,-94.063622,-95.582262
-58,-97.192941,-97.192941,-98.481483,-95.904398,-97.192941
-59,-99.770026,-98.665561,-100.690414,-98.113328,-99.309832
-60,-101.242646,-100.506336,-102.899344,-99.585949,-101.058569
-61,-102.715267,-103.083422,-104.371965,-101.610802,-102.945364
-62,-104.74012,-103.819732,-106.580895,-103.267499,-104.602062
-63,-106.580895,-105.47643,-108.421671,-105.292352,-106.442837
-64,-108.237593,-108.053515,-109.342058,-106.580895,-108.053515
-65,-110.262446,-109.526136,-110.998756,-108.053515,-109.710213
-66,-111.366911,-111.182834,-113.207687,-110.262446,-111.504969
-67,-113.575842,-112.839531,-114.680307,-112.103221,-113.299725
-68,-114.864384,-114.680307,-117.073315,-113.391764,-115.002443
-69,-116.521082,-116.521082,-118.361858,-114.864384,-116.567102
-70,-117.993703,-117.993703,-120.202633,-117.257392,-118.361858
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.184078,1.104465,1.104465,0.0,0.598252
10,2.945241,2.945241,2.945241,2.945241,2.945241
11,4.786016,4.786016,4.970094,4.786016,4.832035
12,6.810869,6.810869,6.810869,6.442714,6.71883
13,8.467567,8.467567,8.835722,8.283489,8.513586
14,10.676497,10.676497,10.676497,9.75611,10.4464
15,12.333195,12.333195,12.885428,12.149118,12.425234
16,13.989893,13.805815,14.173971,13.989893,13.989893
17,16.014746,16.014746,16.014746,15.830668,15.968727
18,17.671444,17.671444,18.039599,17.487366,17.717463
19,19.880374,19.880374,20.064452,19.144064,19.742316
20,21.537072,21.72115,22.089305,21.352995,21.67513
21,23.561925,23.746003,24.114158,23.009692,23.607944
22,25.954933,25.586778,26.139011,25.4027,25.770855
23,27.427553,27.795708,27.979786,27.059398,27.565611
24,30.004639,29.452406,30.004639,29.084251,29.636484
25,31.845414,31.845414,32.397647,30.740949,31.707356
26,34.054345,33.502112,34.238422,32.949879,33.68619
27,35.711043,36.079198,36.263275,35.526965,35.89512
28,37.551818,38.104051,38.288128,37.551818,37.873954
29,40.128904,39.576671,40.312981,39.392593,39.852787
30,42.521912,42.153756,42.337834,41.601524,42.153756
31,43.994532,43.994532,44.546764,43.442299,43.994532
32,46.38754,46.019385,46.939772,45.65123,46.249482
33,48.228315,48.228315,48.59647,47.676083,48.182296
34,50.621323,50.253168,51.357633,49.516858,50.437246
35,52.462099,52.093944,52.830254,51.541711,52.232002
36,54.855107,54.486952,55.223262,54.118796,54.671029
37,57.248115,56.87996,57.248115,55.959572,56.83394
38,58.904812,58.168502,59.641123,57.800347,58.628696
39,60.929665,60.745588,61.665976,60.009278,60.837627
40,63.506751,62.586363,63.322673,62.034131,62.86248
41,64.979371,64.611216,65.531604,63.874906,64.749274
42,67.372379,66.267914,67.924612,66.267914,66.958205
43,69.213155,69.213155,69.58131,68.108689,69.029077
44,71.422085,70.685775,71.974318,70.133542,71.05393
45,73.078783,72.342473,73.446938,71.79024,72.664609
