pwm,m1,m2,m3,m4,mean
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,1.47262,1.656698,1.104465,1.288543,1.380582
10,3.497473,3.497473,3.129318,3.313396,3.359415
11,5.154171,5.338249,4.970094,5.154171,5.154171
12,7.179024,7.547179,7.179024,7.179024,7.271063
13,9.019799,9.572032,8.651644,9.019799,9.065819
14,11.22873,11.412807,10.860575,11.22873,11.18271
15,12.885428,13.621738,12.885428,12.885428,13.069505
16,14.726203,15.094358,14.358048,14.726203,14.726203
17,16.751056,17.487366,16.198823,16.566979,16.751056
18,18.591831,19.328142,18.039599,18.775909,18.68387
19,20.800762,20.984839,19.880374,20.432607,20.524646
20,22.641537,23.19377,22.089305,22.641537,22.641537
21,24.850468,25.218623,23.93008,24.66639,24.66639
22,26.691243,27.243476,26.139011,26.691243,26.691243
23,28.900174,29.452406,27.979786,28.716096,28.762115
24,31.109104,31.477259,30.004639,30.925027,30.879007
25,33.318035,33.502112,32.213569,33.318035,33.087938
26,35.526965,35.526965,34.054345,34.974732,35.020752
27,37.551818,37.735896,36.447353,37.183663,37.229682
28,39.576671,40.128904,38.288128,39.392593,39.346574
29,41.785601,42.337834,39.760748,41.417446,41.325408
30,43.810454,44.546764,41.969679,43.626377,43.488319
31,46.019385,46.939772,44.178609,45.467152,45.65123
32,48.044238,48.59647,46.38754,47.492005,47.630063
33,50.437246,50.805401,48.59647,49.885013,49.931032
34,52.646176,53.014331,50.437246,52.093944,52.047924
35,55.039184,55.039184,52.830254,54.302874,54.302874
36,57.064037,57.064037,54.302874,56.143649,56.143649
37,58.720735,59.641123,56.511804,58.536657,58.35258
38,61.113743,61.850053,58.904812,60.56151,60.60753
39,63.506751,64.243061,60.929665,62.586363,62.81646
40,65.347526,66.267914,62.954518,64.979371,64.887333
41,67.556457,68.108689,64.979371,66.820147,66.866166
42,69.765387,70.133542,66.636069,69.213155,68.937038
43,71.79024,72.894705,69.029077,71.238008,71.238008
44,73.999171,74.919558,71.05393,72.710628,73.170822
45,76.024024,77.128489,72.52655,74.735481,75.103636
46,78.232954,79.153342,74.551403,77.312566,77.312566
47,80.073729,81.362272,76.760334,78.969264,79.2914
48,81.54635,83.387125,78.785187,81.178195,81.224214
49,83.571203,85.043823,80.81004,83.387125,83.203048
50,85.964211,86.700521,82.28266,85.411978,85.089842
51,87.989064,88.725374,84.49159,87.068676,87.068676
52,90.013917,91.118382,86.884598,88.357219,89.093529
53,91.302459,92.959157,88.541296,91.118382,90.980324
54,94.063622,95.168088,90.382072,92.406925,93.005177
55,96.088475,96.824786,92.406925,94.799933,95.03003
56,97.561096,98.297406,93.879545,96.272553,96.50265
57,99.585949,100.690414,95.536243,98.297406,98.527503
58,100.690414,102.715267,97.745173,100.506336,100.414298
59,103.635654,103.819732,99.217794,102.531189,102.301092
60,105.47643,106.580895,101.242646,104.187887,104.371965
61,106.94905,108.053515,103.451577,106.21274,106.166721
